127.0.0.1 - - [04/Feb/2016:10:21:14 +0200] "GET /phpmyadmin HTTP/1.1" 404 1983
127.0.0.1 - - [04/Feb/2016:10:21:15 +0200] "GET /favicon.ico HTTP/1.1" 200 318
127.0.0.1 - - [04/Feb/2016:10:21:21 +0200] "GET / HTTP/1.1" 200 148
127.0.0.1 - - [04/Feb/2016:10:21:21 +0200] "GET /denwer/ HTTP/1.1" 200 16324
127.0.0.1 - - [04/Feb/2016:10:21:22 +0200] "GET /denwer/Tools/dnsearch/search.pl?action=js HTTP/1.1" 200 1521
127.0.0.1 - - [04/Feb/2016:10:31:33 +0200] "GET /magazin.com HTTP/1.1" 301 352
127.0.0.1 - - [04/Feb/2016:10:31:33 +0200] "GET /magazin.com/ HTTP/1.1" 200 998
127.0.0.1 - - [04/Feb/2016:10:31:33 +0200] "GET /icons/blank.gif HTTP/1.1" 200 148
127.0.0.1 - - [04/Feb/2016:10:31:33 +0200] "GET /icons/back.gif HTTP/1.1" 200 216
127.0.0.1 - - [04/Feb/2016:10:31:33 +0200] "GET /icons/folder.gif HTTP/1.1" 200 225
127.0.0.1 - - [04/Feb/2016:10:31:39 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/ HTTP/1.1" 302 -
127.0.0.1 - - [04/Feb/2016:10:31:39 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php HTTP/1.1" 200 15907
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/css/bootstrap.min.css HTTP/1.1" 200 106242
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/css/bootstrap-responsive.min.css HTTP/1.1" 200 16693
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/css/bootstrap-extended.css HTTP/1.1" 200 8681
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/template/css/template.css HTTP/1.1" 200 3457
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/css/chosen.css HTTP/1.1" 200 13276
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/js/jquery-noconflict.js HTTP/1.1" 200 21
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/js/jquery-migrate.min.js HTTP/1.1" 200 7199
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/system/js/html5fallback.js HTTP/1.1" 200 8274
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/js/bootstrap.min.js HTTP/1.1" 200 29156
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/js/chosen.jquery.min.js HTTP/1.1" 200 25818
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/system/js/mootools-core.js HTTP/1.1" 200 83893
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/system/js/core.js HTTP/1.1" 200 4104
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/system/js/mootools-more.js HTTP/1.1" 200 236825
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/system/js/punycode.js HTTP/1.1" 200 2672
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/template/images/joomla.png HTTP/1.1" 200 7460
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/system/js/validate.js HTTP/1.1" 200 3917
127.0.0.1 - - [04/Feb/2016:10:31:40 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/template/js/installation.js HTTP/1.1" 200 11438
127.0.0.1 - - [04/Feb/2016:10:31:41 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/img/glyphicons-halflings-white.png HTTP/1.1" 200 8777
127.0.0.1 - - [04/Feb/2016:10:31:41 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/css/chosen-sprite.png HTTP/1.1" 200 646
127.0.0.1 - - [04/Feb/2016:10:31:41 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [04/Feb/2016:10:31:49 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/ HTTP/1.1" 302 -
127.0.0.1 - - [04/Feb/2016:10:31:49 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php HTTP/1.1" 200 15907
127.0.0.1 - - [04/Feb/2016:10:32:20 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/ HTTP/1.1" 200 15898
127.0.0.1 - - [04/Feb/2016:10:32:50 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/ HTTP/1.1" 200 15898
127.0.0.1 - - [04/Feb/2016:10:32:57 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/template/images/ajax-loader.gif HTTP/1.1" 200 577
127.0.0.1 - - [04/Feb/2016:10:32:57 +0200] "POST /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php HTTP/1.1" 200 100
127.0.0.1 - - [04/Feb/2016:10:32:58 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php?tmpl=body&view=database HTTP/1.1" 200 5867
127.0.0.1 - - [04/Feb/2016:10:32:58 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/media/jui/img/glyphicons-halflings.png HTTP/1.1" 200 12762
127.0.0.1 - - [04/Feb/2016:10:33:20 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/ HTTP/1.1" 200 15941
127.0.0.1 - - [04/Feb/2016:10:33:50 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/ HTTP/1.1" 200 15941
127.0.0.1 - - [04/Feb/2016:10:34:17 +0200] "POST /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php HTTP/1.1" 200 99
127.0.0.1 - - [04/Feb/2016:10:34:18 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php?tmpl=body&view=summary HTTP/1.1" 200 12384
127.0.0.1 - - [04/Feb/2016:10:34:19 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/ HTTP/1.1" 200 15941
127.0.0.1 - - [04/Feb/2016:10:34:50 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/ HTTP/1.1" 200 15941
127.0.0.1 - - [04/Feb/2016:10:34:52 +0200] "POST /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php HTTP/1.1" 200 99
127.0.0.1 - - [04/Feb/2016:10:34:52 +0200] "GET /magazin.com/Joomla_3.3.3_Stable_Full_ru/installation/index.php?tmpl=body&view=install HTTP/1.1" 200 1798
